id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
4,2026-09-01,2821,40,10,5,1866.62,456.99,244461.27
7,2025-02-09,1254,25,11,4,1400.82,188.4,258202.93
14,2026-01-20,367,65,1,11,0.0,122.12,249504.31
19,2025-05-19,1693,50,3,9,1257.43,237.2,106454.95
27,2025-06-25,352,30,3,6,-1290.55,179.37,162227.75
37,2025-11-13,2846,75,10,3,800.22,104.7,66127.82
41,2025-11-10,3651,48,13,5,81663.0,106.27,136809.9
49,2025-08-11,1122,2,14,4,337.32,69.59,47210.14
52,2025-01-24,1746,33,1,10,1429.69,78.5,173202.87
53,2025-09-29,1962,79,1,3,0.0,305.78,265915.68
54,2025-07-22,2969,3,4,3,421.01,63.89,13911.37
55,2026-02-12,2340,26,10,6,1954.65,431.08,150219.71
63,2025-03-05,3691,55,10,7,-1680.49,242.41,238110.36
66,2025-03-04,1352,21,12,6,776.33,147.21,112829.12
68,2025-02-14,475,43,13,3,1643.29,187.12,235726.94
74,2025-01-04,2814,64,5,7,1809.88,358.53,279782.46
77,2025-11-12,2386,79,14,12,1324.27,144.93,92440.33
80,2025-09-17,914,64,6,7,1348.69,282.52,44463.35
84,2025-01-28,772,18,3,4,57228.0,84.39,41526.61
85,2025-03-18,151,6,7,2,967.01,62.59,92114.86
91,2025-06-24,2778,14,3,1,158.84,26.5,9146.22
93,2025-06-22,919,4,8,2,36125.0,84.51,9964.1
95,2026-01-18,106,11,3,7,1953.28,313.86,356037.27
99,2025-05-12,490,57,1,1,716.12,159.79,23929.67
103,2025-05-26,927,29,7,9,1179.01,231.56,150298.39
118,2025-05-08,2114,78,1,2,348.72,36.88,68328.79
125,2025-10-12,1886,12,13,12,1521.54,127.08,234686.27
130,2025-06-25,1384,38,15,7,1.06635,208.25,155755.8
148,2025-12-23,848,13,8,3,505.33,68.83,88566.14
151,2025-03-19,927,10,14,7,1.52401,139.89,138665.57
163,2025-01-04,354,12,10,7,1304.88,101.17,142724.83
167,2026-02-20,743,77,6,5,605.91,121.04,58769.89
170,2025-12-18,2800,6,1,2,917.66,131.25,177908.61
178,2026-01-04,833,71,4,10,1310.85,160.19,41123.88
183,2025-04-21,513,50,11,5,72336.0,174.04,62801.44
